seq,year,age,sex,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,interest,enjoy,mastgrad
1,4,20,1,1,6,2,4,6,7,5,4,5,1,3,6,6,7,5,2
2,4,20,1,1,3,1,1,3,5,3,4,5,3,1,5,1,7,7,5
3,3,19,2,1,2,2,1,6,5,4,1,7,1,1,5,1,7,7,4
4,3,19,1,1,4,5,5,3,6,4,6,6,4,4,6,3,7,6,3
5,3,18,2,1,6,4,2,4,7,4,6,7,2,2,7,2,7,7,1
6,3,19,1,1,7,2,2,6,7,6,7,7,5,5,7,5,7,7,1
7,3,20,2,1,7,2,1,7,7,6,4,4,1,6,5,2,6,6,4
8,3,21,1,1,1,1,5,4,7,6,1,2,3,3,7,1,7,7,1
9,3,19,2,1,7,5,7,4,7,4,6,7,3,1,5,3,6,6,1
10,3,21,2,1,4,5,6,2,4,2,5,7,5,1,6,2,6,6,1
11,3,19,2,1,7,5,2,6,3,4,1,5,3,4,4,1,7,7,1
12,3,19,2,1,6,6,3,5,6,6,4,6,5,5,6,1,7,7,1
13,3,19,1,1,3,2,2,3,4,1,4,5,3,1,6,6,7,7,2
14,3,19,2,1,4,3,5,6,5,5,3,4,1,5,6,4,7,7,3
15,3,19,2,1,7,6,5,5,5,5,2,5,3,4,3,3,6,5,5
16,3,18,2,1,6,5,4,5,7,6,6,7,5,4,7,3,6,6,4
17,3,19,1,1,7,4,1,6,7,6,3,7,3,4,7,1,7,7,1
18,3,19,2,1,5,5,6,4,5,4,3,3,4,4,4,6,7,6,3
19,3,19,2,1,5,5,2,5,5,4,2,6,1,2,6,1,7,7,3
20,3,19,2,1,6,1,3,5,4,5,4,5,1,2,7,3,6,7,3
21,3,19,2,1,7,3,2,4,5,3,1,2,2,2,4,5,7,7,5
22,3,18,1,1,6,1,2,6,6,6,2,6,2,6,7,7,7,6,1
23,3,18,1,1,7,3,2,5,4,5,2,6,1,2,4,3,6,5,4
24,3,19,1,1,4,4,2,5,4,4,2,3,2,3,3,5,5,5,4
25,3,19,1,1,6,2,3,5,5,5,3,6,4,3,6,3,6,5,3
26,3,19,2,1,5,2,2,6,6,5,1,7,1,3,6,1,6,6,1
27,4,19,1,1,5,3,2,2,4,2,2,4,5,2,5,5,6,6,1
28,4,19,1,1,7,1,1,7,7,7,1,5,1,6,7,7,3,3,5
29,4,20,2,1,5,1,5,4,5,3,3,5,5,3,5,5,7,7,5
30,4,21,2,1,5,4,6,6,5,6,4,4,5,5,5,4,5,5,4
31,4,20,2,1,7,1,6,4,4,4,1,6,6,4,7,1,7,7,2
32,4,20,1,1,1,2,1,6,3,1,5,3,3,3,6,2,2,1,6
33,4,19,1,1,6,5,4,4,4,3,4,5,5,3,5,4,6,6,2
34,4,20,2,1,5,3,1,1,1,1,1,7,2,1,7,1,7,7,1
35,4,20,2,1,2,3,6,5,7,5,3,7,2,2,7,1,7,7,1
36,4,20,2,1,1,3,2,3,5,2,2,3,1,1,3,1,6,6,1
37,3,19,1,1,1,2,3,1,7,3,2,7,1,1,7,1,7,7,2
38,3,19,1,1,7,4,5,5,7,3,5,7,2,2,7,3,6,6,2
39,3,19,2,1,7,2,1,5,7,7,6,7,7,7,6,6,7,7,1
40,3,19,2,1,4,6,5,3,4,2,3,4,3,1,6,4,6,5,2
41,3,19,1,1,4,1,1,1,7,1,4,7,1,1,7,1,7,7,1
42,3,20,2,1,3,7,7,4,1,4,4,6,1,1,1,4,7,7,2
43,3,18,1,1,7,5,6,7,7,7,4,7,6,5,7,5,6,6,4
44,3,19,1,1,7,1,6,7,7,7,7,7,5,5,7,2,7,7,1
45,3,19,1,1,2,5,1,7,5,3,3,6,1,3,6,7,7,5,1
46,3,20,2,1,7,4,3,6,7,6,1,7,1,4,7,1,4,4,4
47,3,19,2,1,7,5,6,4,5,3,2,6,6,2,5,6,7,7,3
48,3,19,2,1,7,6,1,3,4,3,3,5,5,3,4,6,7,7,1
49,3,19,2,1,5,6,1,6,5,2,1,7,1,1,5,1,5,5,1
50,3,22,2,1,4,2,2,5,5,5,2,5,3,4,5,2,6,6,2
51,3,20,2,1,6,4,4,5,4,6,4,5,3,4,6,2,6,6,2
52,3,21,2,1,4,4,2,5,2,5,3,5,2,2,4,3,7,5,1
53,4,19,1,1,5,2,2,3,4,3,2,5,4,3,5,7,5,5,3
54,4,20,2,1,5,3,2,4,5,4,3,4,2,4,5,4,6,5,2
55,4,20,1,1,7,4,1,7,4,4,1,4,1,1,1,1,7,7,1
56,4,20,1,1,4,6,3,5,5,5,5,6,2,2,5,2,5,5,4
57,4,20,2,1,5,1,1,6,6,5,2,5,1,1,6,1,7,6,2
58,3,19,2,5,6,1,7,6,7,7,1,7,6,7,7,6,7,7,4
59,3,18,2,5,4,2,1,5,6,5,3,7,2,3,6,2,5,4,6
60,3,19,2,5,6,4,5,3,7,5,5,7,5,3,6,2,7,7,3
61,3,19,2,5,7,1,3,6,7,6,5,7,1,5,7,1,7,7,1
62,3,19,2,5,7,2,2,6,3,7,5,6,5,2,6,2,6,6,2
63,3,19,2,5,6,2,2,3,7,3,2,7,6,3,7,6,7,7,3
64,4,20,2,5,3,3,4,7,6,7,6,5,3,6,7,2,7,5,3
65,3,19,2,5,6,2,4,6,7,6,4,7,4,1,7,1,7,7,1
66,3,19,2,5,7,2,2,6,7,6,6,7,6,6,6,6,7,7,2
67,3,19,2,5,5,3,4,6,6,5,4,6,1,3,6,1,6,6,3
68,3,19,2,5,4,2,2,3,5,4,3,7,2,3,6,3,7,7,2
69,3,19,2,5,4,6,6,2,6,3,5,7,2,3,6,2,6,6,2
70,3,18,2,5,5,4,1,4,6,5,4,6,5,6,7,5,5,5,1
71,3,19,2,5,5,1,2,3,4,3,3,6,2,2,6,2,6,6,1
72,3,19,2,5,4,2,4,7,7,5,4,6,4,1,4,4,7,7,7
73,3,19,2,5,1,5,5,2,5,2,5,7,2,2,6,2,4,4,2
74,4,20,2,1,7,5,5,4,6,4,4,6,4,5,5,4,6,6,1
75,4,19,2,1,6,7,6,7,5,6,5,5,3,4,5,3,7,6,4
76,4,20,2,1,6,2,3,6,7,6,5,7,6,3,6,5,6,6,4
77,4,20,2,1,7,6,5,5,6,5,4,6,4,5,5,5,7,7,4
78,4,20,2,1,7,2,1,5,6,5,6,7,4,1,7,3,7,7,3
79,4,20,2,1,5,4,4,4,4,5,5,4,2,4,5,2,6,6,2
80,4,20,2,1,2,1,2,3,6,1,2,7,4,6,7,1,7,6,1
81,3,19,2,1,7,4,2,4,6,6,4,7,3,3,7,2,7,5,1
82,3,19,2,1,4,6,5,1,5,1,5,5,1,1,5,5,6,6,2
83,3,19,2,1,7,4,3,5,7,6,3,7,2,4,6,2,6,6,4
84,3,20,2,1,4,5,5,1,5,1,4,6,1,1,4,4,5,5,3
85,3,20,2,1,5,5,4,4,6,4,5,5,3,3,5,5,6,6,3
86,3,19,2,5,5,4,3,5,7,5,3,7,2,2,7,2,7,7,2
87,3,19,2,5,7,6,2,1,7,6,2,1,1,1,7,1,7,7,2
88,3,19,2,5,2,7,7,1,7,1,6,6,1,1,6,1,5,5,1
89,3,18,1,5,1,1,4,5,5,5,1,3,1,1,4,1,4,4,2
90,3,19,2,5,5,5,7,4,7,3,6,7,4,2,7,2,7,7,1
91,3,19,1,5,7,3,5,6,6,6,4,7,1,5,6,7,7,6,1
92,3,19,2,5,7,4,3,6,6,6,4,7,5,7,5,5,6,6,4
93,3,19,2,5,5,4,1,2,6,1,6,3,7,2,7,4,7,7,7
94,3,19,2,5,3,5,5,4,4,2,2,2,2,3,7,4,7,7,1
95,3,20,2,5,3,1,2,4,6,5,3,6,4,2,6,2,6,6,1
96,3,19,2,5,7,4,2,3,6,2,5,7,6,5,7,5,7,6,2
97,3,19,2,5,4,6,4,4,5,4,3,6,2,2,4,2,5,5,2
98,3,19,1,5,2,6,1,1,2,2,2,4,2,1,2,1,3,3,2
99,3,19,1,5,6,4,4,3,6,4,4,7,5,2,6,5,6,6,4
100,3,19,2,5,7,7,7,5,7,6,7,7,2,6,6,7,3,3,3
101,3,19,2,5,7,4,1,6,7,5,4,7,1,2,7,7,4,7,3
102,3,19,2,5,7,5,6,3,5,5,6,7,7,3,6,4,7,7,6
103,3,19,2,5,5,2,3,7,7,7,3,7,2,2,7,1,7,7,1
104,3,19,2,5,6,5,5,6,7,6,5,7,6,4,7,6,7,7,1
105,3,19,2,5,5,1,2,5,7,5,5,6,1,4,6,5,6,6,2
106,3,18,1,5,5,5,4,4,6,3,4,6,2,4,6,5,6,6,4
107,3,19,2,5,5,5,5,6,6,6,5,6,3,3,6,4,6,6,3
108,3,19,2,5,7,6,4,5,5,5,4,5,4,3,6,4,7,5,3
109,3,19,2,5,5,6,6,4,6,5,5,7,6,3,4,3,7,6,2
110,3,19,2,5,6,4,4,5,5,3,3,4,2,4,5,5,6,6,3
111,4,20,2,1,5,1,1,5,6,5,1,5,1,5,6,1,7,7,1
112,4,20,2,1,7,6,7,5,5,5,5,6,6,7,7,5,6,6,2
113,4,21,1,6,5,1,1,5,6,4,2,5,3,3,5,4,7,7,2
114,4,21,2,6,6,3,3,6,7,5,4,7,2,1,7,1,7,7,3
115,3,19,2,5,7,3,3,5,5,5,5,5,6,4,6,4,7,7,1
116,3,19,2,5,7,3,4,3,4,3,2,5,3,2,6,6,6,6,4
117,3,19,2,5,5,6,7,5,6,3,3,4,1,1,7,1,7,7,6
118,3,19,2,5,6,5,5,4,3,5,3,3,6,4,3,6,6,5,4
119,3,19,2,5,6,5,5,1,5,2,4,5,3,2,5,6,5,4,1
120,3,19,2,5,5,2,4,3,6,6,5,6,5,5,5,4,6,7,1
121,3,18,2,5,3,7,2,4,1,4,3,2,1,2,3,2,5,5,5
122,3,19,2,5,7,5,2,7,5,5,6,7,3,6,6,7,7,7,6
123,3,19,2,5,7,2,2,6,5,7,4,6,7,5,4,5,6,6,4
124,3,19,2,5,7,6,6,7,6,7,6,6,2,6,6,1,6,6,7
125,4,20,2,5,6,7,5,4,7,5,3,7,3,4,6,6,7,7,4
126,4,20,1,5,7,3,3,7,5,7,6,7,7,4,7,3,4,4,1
127,4,20,2,5,7,2,5,6,7,6,2,5,1,5,6,2,6,6,1
128,4,20,2,5,7,5,3,7,5,7,3,7,2,6,7,1,7,7,1
129,4,19,2,5,7,3,4,6,5,5,4,5,3,3,5,3,5,4,3
130,4,20,2,5,5,6,3,6,6,5,3,4,1,4,7,3,6,5,3
131,4,20,2,5,7,7,7,5,6,5,5,7,5,4,5,5,7,6,4
132,4,20,2,5,7,7,4,4,4,4,3,5,6,5,4,6,2,1,4
133,4,20,2,5,3,5,4,2,7,4,3,7,1,2,7,2,7,7,1
134,4,20,2,5,3,3,6,6,7,3,2,7,1,1,7,3,7,7,1
135,4,20,2,5,6,5,4,5,5,5,2,6,4,5,6,3,5,5,3
136,4,20,2,5,7,3,4,6,6,4,2,7,6,3,7,1,5,6,3
137,3,19,2,1,2,3,3,6,7,4,5,6,1,2,7,2,7,6,1
138,3,19,2,1,7,4,5,3,6,6,3,7,3,4,6,5,6,4,4
139,3,18,2,1,4,7,3,6,4,4,2,5,1,1,7,3,7,7,1
140,3,19,1,1,5,4,2,5,4,5,2,3,4,4,3,2,6,6,5
141,3,19,1,1,5,3,3,4,6,5,2,6,4,4,7,5,7,7,1
142,3,19,1,1,3,2,2,7,3,1,2,4,1,1,3,2,7,3,1
143,3,19,1,1,5,2,3,3,4,1,1,5,1,1,5,1,6,6,1
144,3,19,1,1,5,2,1,6,7,6,1,6,3,3,7,2,7,6,1
145,3,19,2,1,7,5,5,2,6,2,2,6,2,1,7,6,7,7,2
146,3,19,2,1,7,4,7,3,7,4,7,7,6,4,7,6,7,6,4
147,3,19,2,1,7,2,3,4,7,6,3,7,7,6,7,7,7,7,4
148,3,20,2,1,5,3,6,6,7,6,5,5,3,6,6,6,7,7,2
149,4,20,1,5,6,5,5,6,6,5,4,6,4,6,6,5,7,7,2
150,4,21,1,5,6,1,4,3,4,3,4,5,3,3,4,5,7,7,2
151,4,20,2,5,7,4,3,4,7,4,5,7,3,4,7,7,5,3,1
152,4,20,2,5,5,2,3,6,7,6,2,5,1,4,7,1,7,7,1
153,4,19,2,5,7,1,1,7,7,7,2,6,1,4,6,1,6,6,6
154,4,23,2,1,6,5,6,4,6,4,5,7,2,3,7,2,6,5,1
155,4,20,2,5,6,3,1,5,7,5,1,6,5,2,7,2,7,5,4
156,4,20,2,5,3,5,4,3,5,5,1,3,1,4,4,1,3,3,1
157,4,20,2,5,6,3,5,4,6,4,5,5,5,4,6,6,7,7,1
158,4,20,2,5,5,6,2,1,4,1,5,7,1,1,7,1,5,5,1
159,4,20,2,5,3,7,2,1,3,1,2,6,3,1,4,2,6,4,1
160,4,20,2,5,2,1,2,5,7,5,3,7,1,1,7,1,7,6,1
161,4,20,2,5,6,1,2,4,7,7,7,7,1,4,7,1,6,6,1
162,4,20,2,5,6,2,4,4,6,3,2,7,2,1,6,2,4,4,1
163,4,20,2,6,6,6,6,5,6,5,4,6,5,4,6,5,2,2,4
164,4,20,2,6,6,6,7,7,3,5,6,7,7,7,6,6,4,4,5
165,4,20,2,6,3,7,6,3,5,4,6,7,1,4,5,1,4,4,1
166,4,19,2,6,7,1,2,7,6,7,7,7,7,6,7,7,7,5,4
167,4,21,2,6,4,4,2,5,1,3,2,3,5,4,5,5,2,1,4
168,4,20,2,6,7,6,7,5,4,6,2,2,7,6,3,6,1,1,6
169,3,19,2,1,7,2,2,6,4,6,1,7,6,5,7,6,7,7,4
170,3,19,2,1,3,7,6,4,5,4,5,5,3,4,6,4,7,7,4
171,3,19,1,1,5,4,5,4,4,3,5,5,5,4,6,5,6,5,2
172,3,19,1,1,6,3,5,5,7,4,1,6,1,4,6,1,7,7,1
173,3,19,1,1,6,3,4,6,6,5,7,7,5,4,6,4,7,7,1
174,3,19,1,1,6,6,1,6,7,6,3,4,1,3,5,1,7,6,2
175,3,20,1,1,3,5,5,4,2,3,4,2,2,3,4,2,2,3,2
176,3,19,1,1,5,1,1,6,4,5,1,5,1,4,5,5,6,6,4
177,3,19,2,1,6,3,5,2,6,1,7,6,5,3,5,3,6,4,2
178,3,19,1,1,4,3,4,5,6,5,2,6,4,5,5,7,6,6,1
179,3,19,1,1,6,7,4,5,4,5,4,6,3,4,6,6,7,6,3
180,3,19,1,1,6,4,3,4,6,3,4,7,2,3,6,3,6,4,3
181,3,19,1,1,6,3,2,5,6,5,2,5,3,5,6,6,7,6,2
182,4,21,2,5,6,4,1,3,5,2,4,4,7,2,4,7,5,5,4
183,4,19,2,5,6,4,4,1,4,2,4,4,4,2,3,3,5,4,3
184,4,20,1,5,5,2,2,4,5,4,4,6,5,4,6,3,6,6,3
185,4,20,1,5,5,2,2,4,7,1,1,7,1,2,7,1,7,7,1
186,4,20,2,5,7,2,2,6,6,6,2,7,3,5,7,5,6,6,1
187,4,20,2,5,7,5,5,7,5,7,3,7,2,5,7,1,6,6,2
188,1,17,1,4,7,5,5,5,7,5,7,7,2,5,7,7,7,7,4
189,1,17,1,4,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1
190,1,16,1,4,6,7,4,6,4,5,3,6,4,6,4,6,5,5,1
191,1,17,2,4,7,3,5,6,7,6,4,6,5,6,7,7,5,5,2
192,1,16,2,4,7,3,5,4,7,5,7,7,6,5,7,7,7,7,3
193,1,17,2,4,7,5,4,2,6,4,4,6,5,4,6,6,7,7,2
194,2,17,2,4,7,5,5,4,6,5,2,6,4,7,6,5,7,7,4
195,1,18,2,4,7,7,7,5,6,5,7,7,1,2,6,5,4,3,4
196,1,17,2,4,5,2,3,6,7,5,4,6,2,3,7,1,6,6,2
197,1,17,1,4,7,5,2,4,6,4,5,7,6,4,5,7,7,4,4
198,1,18,2,4,7,4,5,3,5,4,6,5,4,3,6,6,7,6,3
199,1,17,1,4,6,5,4,4,6,4,3,4,3,3,4,4,6,6,1
200,1,17,1,4,6,4,6,5,5,5,4,6,6,4,6,3,7,7,3
201,1,17,2,4,7,6,3,6,6,6,2,4,2,6,6,7,6,4,2
202,1,17,1,4,7,5,5,5,7,6,5,7,7,6,7,7,7,7,4
203,1,16,2,4,7,1,2,5,6,5,4,5,3,3,6,3,6,5,1
204,1,17,1,4,6,2,5,5,6,5,2,7,6,5,6,6,6,6,4
205,1,17,1,4,5,6,6,7,6,7,4,6,3,6,6,2,6,6,4
206,1,18,2,4,5,1,2,5,7,4,5,7,1,3,7,1,6,7,3
207,1,16,2,4,7,3,5,5,6,7,7,7,5,6,7,7,5,5,1
208,1,17,2,4,7,6,6,7,7,7,5,7,3,5,6,4,7,7,3
209,1,17,2,4,6,6,4,4,6,4,7,6,1,3,6,3,6,6,3
210,1,17,1,4,5,5,4,1,2,1,2,5,5,1,4,5,4,5,5
211,1,17,1,4,6,3,2,7,7,7,5,6,2,4,7,3,6,5,3
212,1,17,1,4,6,5,5,4,5,4,6,7,2,3,6,1,5,5,3
213,1,20,1,4,7,6,6,5,7,6,2,7,3,4,6,6,3,3,1
214,1,17,2,4,7,2,6,1,7,2,2,7,1,4,6,6,7,6,4
215,1,18,2,4,7,3,6,4,5,5,6,7,3,6,6,7,3,3,4
216,1,17,1,4,7,3,3,5,4,5,3,6,5,4,7,5,6,6,1
217,1,17,1,4,7,2,3,5,6,4,6,6,6,5,7,7,5,5,1
218,1,17,1,4,6,4,4,6,5,7,5,7,2,6,5,5,7,6,1
219,1,17,1,4,5,2,3,5,7,5,4,6,3,5,6,5,7,7,1
220,1,17,1,4,3,5,6,7,7,5,5,6,2,1,7,7,7,7,1
221,1,17,1,4,7,1,7,7,4,7,1,7,7,4,6,7,7,7,6
222,1,17,2,4,5,2,2,6,5,6,3,6,2,2,6,3,6,6,2
223,1,17,2,4,6,6,7,6,6,6,6,7,7,6,6,5,4,5,4
224,1,17,2,4,6,1,5,4,7,6,5,7,3,5,7,6,7,7,4
225,1,17,1,4,6,4,3,5,6,4,4,7,2,5,6,2,5,5,2
226,1,16,2,4,7,2,4,5,6,5,1,5,7,5,6,2,7,7,4
227,1,16,1,4,6,1,4,6,6,6,1,7,6,6,7,6,7,7,4
228,1,17,1,4,4,4,4,5,7,4,5,4,2,2,6,3,6,7,1
229,1,16,1,4,7,2,2,4,7,4,7,7,7,5,7,5,5,5,3
230,1,16,1,4,7,3,1,6,7,6,6,7,7,7,7,7,7,7,1
231,1,18,1,4,7,3,1,3,5,2,4,7,2,1,7,3,1,1,1
232,1,17,1,4,7,4,4,7,7,7,4,6,3,6,6,3,3,3,1
233,1,19,2,4,6,3,3,4,6,2,6,7,2,2,7,7,7,7,6
234,1,17,1,4,7,3,5,1,6,3,1,3,4,4,5,7,7,5,4
235,1,17,2,4,7,5,4,3,7,5,4,7,4,5,7,7,7,7,4
236,1,17,1,4,6,6,4,3,4,3,5,6,3,2,5,5,5,5,4
237,1,18,2,4,7,5,3,5,5,6,6,6,6,6,7,7,7,6,4
238,1,16,2,4,7,6,7,3,6,5,4,7,6,3,7,3,5,4,3
239,1,16,2,4,7,4,5,4,5,4,4,5,5,4,7,7,7,6,5
240,1,19,2,4,7,6,5,3,6,5,5,7,4,6,6,7,7,6,6
241,1,18,1,4,7,5,6,3,7,4,3,7,3,5,6,5,4,4,1
242,1,17,2,4,7,1,1,7,7,7,1,7,4,7,7,7,7,7,4
243,1,17,2,4,7,7,7,5,5,5,6,6,6,6,7,7,5,5,5
244,1,17,1,4,7,2,1,5,7,7,1,7,1,7,7,4,7,7,4
245,1,17,2,4,6,3,4,3,4,4,3,3,3,4,5,5,6,6,1
246,1,17,2,4,7,2,2,5,6,7,6,7,1,6,6,7,7,7,4
247,1,16,2,4,7,4,6,5,5,5,5,7,5,5,6,4,7,7,4
248,1,19,2,4,7,1,4,7,7,6,1,7,2,7,7,1,7,7,1
249,4,19,1,5,7,2,5,7,7,6,4,7,7,7,7,7,7,7,3
250,1,17,2,4,4,7,7,3,5,4,5,6,4,4,6,3,5,6,4
251,1,17,2,4,7,5,5,1,6,1,5,7,6,1,7,7,6,7,4
252,1,18,1,4,6,5,4,3,6,3,5,6,5,3,6,4,6,6,4
253,1,18,2,4,6,3,5,6,6,4,4,6,2,3,6,3,5,5,2
254,1,17,2,4,6,2,6,4,7,3,6,7,2,4,7,1,5,5,7
255,1,17,1,4,7,6,7,3,5,2,6,7,6,1,6,5,6,6,7
256,1,15,1,4,7,2,5,4,7,4,1,7,6,6,7,7,7,6,2
257,1,18,1,4,7,2,7,4,7,4,2,7,3,7,7,7,7,7,4
258,1,17,1,4,6,2,2,4,4,4,3,5,4,3,5,5,5,5,1
259,1,17,1,4,7,4,1,7,3,7,2,7,1,4,6,1,5,5,2
260,1,17,1,4,7,1,1,7,7,6,1,5,5,7,7,3,1,7,5
261,1,17,1,4,4,6,2,4,5,5,5,6,3,5,6,6,6,6,3
262,1,17,1,4,7,6,5,6,6,5,5,5,7,5,5,6,6,6,3
263,1,17,1,4,6,5,3,2,4,2,2,6,5,3,5,6,6,4,4
264,1,17,1,4,6,2,3,6,7,5,3,6,5,6,6,2,6,6,1
265,1,17,1,4,7,1,2,6,6,6,5,7,5,7,7,3,6,6,4
266,1,22,2,4,7,5,5,7,7,7,5,7,1,5,7,4,7,7,5
267,1,17,2,4,4,2,4,6,7,5,2,5,3,5,7,7,6,5,7
